date,sentiment,Adj Close,Week_Number,month,year
2016-01-04,2,44.68199920654297,1,1,2016
2016-01-05,2,44.68600082397461,1,1,2016
2016-01-06,2,43.80799865722656,1,1,2016
2016-01-07,2,43.130001068115234,1,1,2016
2016-01-08,1,42.20000076293945,1,1,2016
2016-01-11,1,41.56999969482422,2,1,2016
2016-01-12,0,41.99399948120117,2,1,2016
2016-01-14,1,41.236000061035156,2,1,2016
2016-01-15,1,40.99800109863281,2,1,2016
2016-02-03,1,34.69599914550781,5,2,2016
2016-02-11,2,30.0939998626709,6,2,2016
2016-02-12,0,30.20800018310547,6,2,2016
2016-02-24,2,35.79999923706055,8,2,2016
2016-02-25,1,37.486000061035156,8,2,2016
2016-03-08,0,40.52000045776367,10,3,2016
2016-03-31,3,45.95399856567383,13,3,2016
2016-04-01,6,47.518001556396484,13,4,2016
2016-04-04,2,49.39799880981445,14,4,2016
2016-04-06,0,53.08399963378906,14,4,2016
2016-04-07,-2,51.439998626708984,14,4,2016
2016-04-11,1,49.98400115966797,15,4,2016
2016-04-14,0,50.37200164794922,15,4,2016
2016-04-15,0,50.902000427246094,15,4,2016
2016-04-19,1,49.4739990234375,16,4,2016
2016-04-20,1,49.99399948120117,16,4,2016
2016-04-28,1,49.54199981689453,17,4,2016
2016-04-29,1,48.152000427246094,17,4,2016
2016-05-05,-1,42.305999755859375,18,5,2016
2016-05-11,3,41.79199981689453,19,5,2016
2016-06-08,1,47.104000091552734,23,6,2016
2016-06-10,-1,43.757999420166016,23,6,2016
2016-06-17,1,43.09400177001953,24,6,2016
2016-06-21,0,43.922000885009766,25,6,2016
2016-06-22,1,39.332000732421875,25,6,2016
2016-07-05,1,42.79600143432617,27,7,2016
2016-07-20,0,45.672000885009766,29,7,2016
2016-07-21,2,44.099998474121094,29,7,2016
2016-07-22,0,44.45399856567383,29,7,2016
2016-08-10,1,45.130001068115234,32,8,2016
2016-08-16,1,44.72200012207031,33,8,2016
2016-08-24,1,44.52399826049805,34,8,2016
2016-08-25,0,44.19200134277344,34,8,2016
2016-08-29,-1,43.040000915527344,35,8,2016
2016-09-13,1,39.209999084472656,37,9,2016
2016-09-14,1,39.28200149536133,37,9,2016
2016-09-15,1,40.08399963378906,37,9,2016
2016-09-20,3,40.928001403808594,38,9,2016
2016-09-28,1,41.25400161743164,39,9,2016
2016-09-29,1,40.13999938964844,39,9,2016
2016-09-30,1,40.805999755859375,39,9,2016
2016-10-03,2,42.7400016784668,40,10,2016
2016-10-04,1,42.28200149536133,40,10,2016
2016-10-05,1,41.69200134277344,40,10,2016
2016-10-07,1,39.321998596191406,40,10,2016
2016-10-11,0,40.02000045776367,41,10,2016
2016-10-13,1,40.04800033569336,41,10,2016
2016-10-28,1,39.99399948120117,43,10,2016
2016-10-31,1,39.54600143432617,44,10,2016
2016-11-10,1,37.06999969482422,45,11,2016
2016-11-15,4,36.75400161743164,46,11,2016
2016-11-17,0,37.731998443603516,46,11,2016
2016-11-21,1,36.90399932861328,47,11,2016
2016-11-23,1,38.62799835205078,47,11,2016
2016-11-28,1,39.2239990234375,48,11,2016
2016-11-29,2,37.91400146484375,48,11,2016
2016-12-07,2,38.630001068115234,49,12,2016
2016-12-13,2,39.630001068115234,50,12,2016
2016-12-28,0,43.948001861572266,52,12,2016
2016-12-29,1,42.93600082397461,52,12,2016
2016-12-30,0,42.737998962402344,52,12,2016
2017-01-04,2,45.39799880981445,1,1,2017
2017-01-05,1,45.349998474121094,1,1,2017
2017-01-11,0,45.94599914550781,2,1,2017
2017-01-12,0,45.917999267578125,2,1,2017
2017-01-18,0,47.672000885009766,3,1,2017
2017-01-24,1,50.922000885009766,4,1,2017
2017-01-30,0,50.125999450683594,5,1,2017
2017-02-02,0,50.310001373291016,5,2,2017
2017-02-15,1,55.95199966430664,7,2,2017
2017-02-21,0,55.47800064086914,8,2,2017
2017-02-22,1,54.70199966430664,8,2,2017
2017-02-24,-1,51.400001525878906,8,2,2017
2017-03-06,1,50.242000579833984,10,3,2017
2017-03-07,1,49.71799850463867,10,3,2017
2017-03-08,2,49.374000549316406,10,3,2017
